topic,termIndices,termWeights,terms,total_keyword_weight
0,"[40, 19, 112, 0, 244, 202, 145, 27, 11, 225]","[0.014761855835895756, 0.008806843501252996, 0.007109241009092455, 0.006315243330138468, 0.006264075262876301, 0.0049889875379283515, 0.004963478914274556, 0.004467942765682173, 0.004347612375828489, 0.00398793574715541]","['投票', '疫情', '選舉', '台灣', '開票', '投開票', '防疫', '總統', '民眾', '中央']",0.06601321628012495
1,"[0, 2, 5, 3, 12, 7, 27, 74, 36, 14]","[0.012775493170010166, 0.010549649713849566, 0.009491589998701274, 0.008300992238038069, 0.005920930939624384, 0.005895701238918911, 0.0052400231776187104, 0.005094287793799572, 0.004457017291606593, 0.004094090844900168]","['台灣', '美國', '中國', '媒體', '日本', '新聞', '總統', '烏克蘭', '帳號', '政府']",0.07181977640706742
2,"[0, 14, 181, 169, 7, 299, 326, 713, 212, 5]","[0.007121175392832432, 0.005741098510033688, 0.005391954833062856, 0.004538900017414761, 0.0038384907624675847, 0.003553854157311465, 0.003380790479264337, 0.0033025753558171044, 0.003283528664832631, 0.0032590962701608017]","['台灣', '政府', '蛋', '進口', '新聞', '交通', '爆炸', '公文', '雞', '中國']",0.04341146444319766
3,"[1, 4, 9, 17, 15, 6, 35, 22, 38, 67]","[0.024269525771257378, 0.01022750474497913, 0.007489372522559862, 0.00728721543719697, 0.006066322562036044, 0.005268095344588935, 0.004948671960982883, 0.004837080084252724, 0.004653294677018494, 0.003680805937541093]","['疫苗', '病毒', '新冠', '接種', '感染', '專家', '醫師', '治療', '醫院', '疾病']",0.07872788904241353
4,"[64, 0, 267, 872, 383, 3, 6, 57, 702, 92]","[0.007961333283396795, 0.00524101985295731, 0.004743453638836687, 0.004628608614596533, 0.0040813774632208095, 0.004063698187513749, 0.004003180325773411, 0.0036568496505303147, 0.0035945103879127514, 0.003274806704233932]","['口罩', '台灣', '運動', '捐血', '植物', '媒體', '專家', '健康', '生長', '食品']",0.045248838108972296
